,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,7,LMP1,54,3:18.718,,,246.85,,
1,1,1,2,8,LMP1,55,3:19.275,+ 0.557,+ 0.557,246.16,,
2,2,2,3,3,LMP1,39,3:19.426,+ 0.708,+ 0.151,245.97299999999998,,
3,3,3,4,10,LMP1,44,3:20.322,+ 1.604,+ 0.896,244.873,,
4,4,4,5,11,LMP1,47,3:21.304,+ 2.586,+ 0.982,243.679,,
5,5,5,6,1,LMP1,46,3:21.549,+ 2.831,+ 0.245,243.382,,
6,6,6,7,17,LMP1,46,3:21.557,+ 2.839,+ 0.008,243.373,,
7,7,7,8,4,LMP1,37,3:23.795,+ 5.077,+ 2.238,240.7,,
8,8,8,9,5,LMP1,15,3:25.203,+ 6.485,+ 1.408,239.049,,
9,9,9,10,26,LMP2,52,3:26.529,+ 7.811,+ 1.326,237.514,,
10,10,10,11,48,LMP2,37,3:27.054,+ 8.336,+ 0.525,236.912,,
11,11,11,12,28,LMP2,51,3:27.817,+ 9.099,+ 0.763,236.042,,
12,12,12,13,31,LMP2,36,3:28.178,+ 9.460,+ 0.361,235.632,,
13,13,13,14,39,LMP2,10,3:28.218,+ 9.500,+ 0.040,235.58700000000002,,
14,14,14,15,22,LMP2,43,3:28.284,+ 9.566,+ 0.066,235.513,,
15,15,15,16,37,LMP2,24,3:29.135,+ 10.417,+ 0.851,234.554,,
16,16,16,17,40,LMP2,32,3:29.204,+ 10.486,+ 0.069,234.477,,
17,17,17,18,47,LMP2,41,3:29.214,+ 10.496,+ 0.010,234.46599999999998,,
18,18,18,19,35,LMP2,44,3:29.793,+ 11.075,+ 0.579,233.81900000000002,,
19,19,19,20,23,LMP2,43,3:30.168,+ 11.450,+ 0.375,233.40099999999998,,
20,20,20,21,36,LMP2,24,3:30.750,+ 12.032,+ 0.582,232.757,,
21,21,21,22,38,LMP2,38,3:30.922,+ 12.204,+ 0.172,232.567,,
22,22,22,23,32,LMP2,50,3:31.056,+ 12.338,+ 0.134,232.419,,
23,23,23,24,29,LMP2,48,3:31.465,+ 12.747,+ 0.409,231.97,,
24,24,24,25,34,LMP2,42,3:31.837,+ 13.119,+ 0.372,231.562,,
25,25,25,26,44,LMP2,45,3:34.062,+ 15.344,+ 2.225,229.15599999999998,,
26,26,26,27,50,LMP2,24,3:36.927,+ 18.209,+ 2.865,226.12900000000002,,
27,27,27,28,33,LMP2,51,3:37.463,+ 18.745,+ 0.536,225.572,,
28,28,28,29,25,LMP2,51,3:42.404,+ 23.686,+ 4.941,220.56,,
29,29,29,30,93,GTE Pro,39,3:50.121,+ 31.403,+ 7.717,213.16400000000002,,
30,30,30,31,92,GTE Pro,45,3:50.859,+ 32.141,+ 0.738,212.482,,
31,31,31,32,91,GTE Pro,45,3:50.862,+ 32.144,+ 0.003,212.48,,
32,32,32,33,66,GTE Pro,39,3:51.498,+ 32.780,+ 0.636,211.896,,
33,33,33,34,71,GTE Pro,48,3:51.521,+ 32.803,+ 0.023,211.875,,
34,34,34,35,94,GTE Pro,42,3:51.695,+ 32.977,+ 0.174,211.71599999999998,,
35,35,35,36,51,GTE Pro,34,3:51.738,+ 33.020,+ 0.043,211.676,,
36,36,36,37,68,GTE Pro,37,3:51.776,+ 33.058,+ 0.038,211.642,,
37,37,37,38,69,GTE Pro,30,3:51.898,+ 33.180,+ 0.122,211.53,,
38,38,38,39,67,GTE Pro,47,3:52.692,+ 33.974,+ 0.794,210.80900000000003,,
39,39,39,40,88,GTE Am,49,3:52.903,+ 34.185,+ 0.211,210.618,,
40,40,40,41,52,GTE Pro,51,3:52.944,+ 34.226,+ 0.041,210.581,,
41,41,41,42,64,GTE Pro,47,3:53.048,+ 34.330,+ 0.104,210.487,,
42,42,42,43,63,GTE Pro,46,3:53.397,+ 34.679,+ 0.349,210.172,,
43,43,43,44,82,GTE Pro,43,3:53.677,+ 34.959,+ 0.280,209.92,,
44,44,44,45,97,GTE Pro,50,3:53.727,+ 35.009,+ 0.050,209.875,,
45,45,45,46,86,GTE Am,37,3:53.834,+ 35.116,+ 0.107,209.77900000000002,,
46,46,46,47,54,GTE Am,51,3:53.976,+ 35.258,+ 0.142,209.65200000000002,,
47,47,47,48,77,GTE Am,44,3:54.004,+ 35.286,+ 0.028,209.627,,
48,48,48,49,56,GTE Am,43,3:54.133,+ 35.415,+ 0.129,209.511,,
49,49,49,50,90,GTE Am,41,3:54.527,+ 35.809,+ 0.394,209.15900000000002,,
50,50,50,51,95,GTE Pro,53,3:54.530,+ 35.812,+ 0.003,209.157,,
51,51,51,52,81,GTE Pro,39,3:54.663,+ 35.945,+ 0.133,209.03799999999998,,
52,52,52,53,98,GTE Am,42,3:55.792,+ 37.074,+ 1.129,208.037,,
53,53,53,54,85,GTE Am,38,3:55.845,+ 37.127,+ 0.053,207.99,,
54,54,54,55,61,GTE Am,40,3:56.049,+ 37.331,+ 0.204,207.81099999999998,,
55,55,55,56,70,GTE Am,47,3:56.158,+ 37.440,+ 0.109,207.715,,
56,56,56,57,99,GTE Am,36,3:56.674,+ 37.956,+ 0.516,207.262,,
57,57,57,58,84,GTE Am,42,3:57.016,+ 38.298,+ 0.342,206.963,,
58,58,58,59,80,GTE Am,39,3:58.059,+ 39.341,+ 1.043,206.05599999999998,,
59,59,59,60,6,LMP1,7,4:06.812,+ 48.094,+ 8.753,198.748,,
